number,name,caption,date
1,cowboy,&quot;You ate my pants.&quot;,990289273
2,access,&quot;I just can&rsquo;t accessorize.&quot;,990289188
3,wrong,The wrong limbs for basketball<br />with the wrong ball&comma; on a slight incline.,990289676
4,whale, ,990289664
5,shoe,Reg&rsquo;s foot was a face staring at a mouse&comma;<br />while his forehead flew too close to the sun.,990289559
6,dance, ,990289307
7,chimney, ,990289245
8,quick, ,990289529
9,doubts, ,990289360
10,physics,The league against bad physics strikes without warning.,990289496
11,waffle,Waffle riding for beginners&comma; lession one: Sarcasm,990289655
12,fishing,&quot;Why do you always have a to wear that clobber every time we go fishing?&quot;,990289425
13,smoke, ,990289584
14,balloon,In the purple caves of Cheltenham&comma; <br />more evidence of ancient aztec balloon making.,1044798171
15,pirate,It&rsquo;s one thing to have a wooden leg&comma; but if your other one&rsquo;s a canon......,990289508
16,planet,&quot;Planet! your breakfast&rsquo;s ready..&quot;,990289521
17,sorry,&quot;Quick&comma; say you&rsquo;re sorry&quot;,990289594
18,circus,It was then I knew this circus would never be the same again...,990289261
19,chesney,Even now he was an elephant&comma; Chesney was plagued by UFO sightings,990289232
20,donkey,Never argue with youself while the purple donkey is escaping,990289346
21,fly,Dirk was occasionally mistaken for a fly when very far away,990289433
22,still,And this is how he prepares to paint a still life,990289605
23,frog,You and your mates hide in this tree<br>and when I give the signal you all jump out at once,990289443
24,escape,The only way for the bunnies to escape&comma; <br />was for Jack to smuggle them out inside him.,990289384
25,curb,John loved to catch eyes on the curb.,990289280
26,dragon,Iacta alea est!!,990289372
27,desert,&quot;I dance in the desert&comma; in my invisible suit&quot;,990289318
28,first,It was Jack&rsquo;s first hot air balloon<br>but Bob&rsquo;s teeth were piano keys and he couldn&rsquo;t speak,990289415
29,ahhhhh,&quot;There on the stair&comma; right there!&quot; &quot;Aaaaaah!&quot;,990289197
30,jesus,Jesus was bothered by the terrible spanner bird,990289481
31,jelly,There is only one cure for wibbly wobbly disease<br />and that&rsquo;s jelly...,990289471
32,castle,&quot;I&rsquo;ll be back&comma; and I&rsquo;ll show them.<br /><i>I&rsquo;ll show them all!!!!</i>&quot;,990289219
33,strips,Arnold swam and reality seemed to be cut into strips..,990289631
34,dodge,John&rsquo;s new job was to capture stray monkeys<br>on the road to Dodge City,990289327
35,saturn,As Saturn shot across the sky<br>and the spirit of the dead lingered behind<br>John comtemplated the edge of t screen,990289537
36,heros,The world was crying out for a hero<br />and Ian and Phil were just the guys to answer,990289452
37,shoot,&quot;Right&comma; hit the bull again and I&rsquo;ll let you live&quot;,990289572
38,sheep,Every time he turned his back another sheep was thrown,990289550
39,tango,&quot;You had them last!!!&quot;<br />&quot;Rubbish&comma; I left them on the table&comma; you must have moved them&quot;,990289640
40,faraway,&quot;You&rsquo;ve got that far away look in your eyes again&quot;,990289399
41,stilts,Even when on his stilts<br />Ron still lived in the shadow of his big brother,990289620
42,honey,Although Dave lived by himself&comma; he couldn&rsquo;t help shouting<br />&quot;Honey&comma; I&rsquo;m home!!&quot; whenever he got back.,990289461
43,daisy,Daisy hated it when loud drunks came by hurling abuse,990289291
44,tussauds,Madame Tussauds had got it wrong&comma; <br>Brian would never wear a tie like that!,992789194
45,tongue,&quot;Can he come back in now&comma; he&rsquo;s put his tie back on?&quot;,992789182
46,furniture,Just because you don&rsquo;t have a body<br>doesn&rsquo;t mean you don&rsquo;t need furniture,992789170
47,console,It was only when his friends left for the pub<br>that Bob realised the disadvantage<br>of supergluing his han to the controller,994520133
48,travel,After travelling for many months I finally discovered<br />the famous Aloof Bird sitting on a wooden T,994520124
49,ambition,Who said that Bob didn&rsquo;t have an ambition?,994520113
